Club,City,Country
Brighton & Hove Albion,Brighton,England
West Ham United,London,England
Burnley,Burnley,England
Arsenal,London,England
Manchester United,Manchester,England
Everton,Liverpool,England
Southampton,Southampton,England
Leeds United,Leeds,England
Watford,watford,England
Norwich City,Norwich,England
Wolverhampton Wanderers,Wolverhampton,England
Leicester City,Leicester,England
Liverpool,Liverpool,England
Tottenham Hotspur,London,England
Newcastle United,Newcastle,England
Brentford,London,England
Chelsea,London,England
Aston Villa,Birmingham,England
Manchester City,Manchester,England
Crystal Palace,London,England
AFC Bournemouth,Bournemouth,England
Fulham,London,England
Nottingham Forest,Nottingham,England
Sheffield United,Sheffield,England
Luton Town,Luton,England
Bordeaux,Bordeaux,France
PSG,Paris,France
Angers SCO,Angers,France
Nantes,Nantes,France
Troyes,Troyes,France
Strasbourg,Strasbourg,France
Clermont,Clermont-Ferrand,France
Lille,Lille,France
Saint-Étienne,Saint-Étienne,France
Lorient,Lorient,France
Lens,Lens,France
Rennes,Rennes,France
Monaco,Monaco,France
Metz,Metz,France
Nice,Nice,France
Reims,Reims,France
Olympique Marseille,Marseille,France
Montpellier,Montpellier,France
Olympique Lyonnais,Lyon,France
Brest,Brest,France
Toulouse,Toulouse,France
Auxerre,Auxerre,France
Ajaccio,Ajaccio,France
Le Havre,Le Havre,France
Mainz 05,Mainz,Germany
Greuther Fürth,Fürth,Germany
Wolfsburg,Wolfsburg,Germany
Eintracht Frankfurt,Frankfurt,Germany
Borussia M'gladbach,Mönchengladbach,Germany
Arminia Bielefeld,Bielefeld,Germany
Hertha BSC,Berlin,Germany
Stuttgart,Stuttgart,Germany
Augsburg,Augsburg,Germany
Bayern München,Munich,Germany
RB Leipzig,Leipzig,Germany
Bayer Leverkusen,Leverkusen,Germany
Union Berlin,Berlin,Germany
Hoffenheim,Sinsheim,Germany
Bochum,Bochum,Germany
Köln,Cologne,Germany
Borussia Dortmund,Dortmund,Germany
Freiburg,Freiburg,Germany
Schalke 04,Gelsenkirchen,Germany
Werder Bremen,Bremen,Germany
Darmstadt 98,Darmstadt,Germany
Heidenheim,Heidenheim,Germany
Bologna,Bologna,Italy
Juventus,Turin,Italy
Sampdoria,Genoa,Italy
Sassuolo,Sassuolo,Italy
Genoa,Genoa,Italy
Lazio,Rome,Italy
Cagliari,Cagliari,Italy
Napoli,Naples,Italy
Hellas Verona,Verona,Italy
Spezia,La Spezia,Italy
Roma,Rome,Italy
Atalanta,Bergamo,Italy
Empoli,Empoli,Italy
Torino,Turin,Italy
Fiorentina,Florence,Italy
Inter Milan,Milan,Italy
Venezia,Venice,Italy
AC Milan,Milan,Italy
Salernitana,Salerno,Italy
Udinese,Udine,Italy
Cremonese,Cremona,Italy
Monza,Monza,Italy
Lecce,Lecce,Italy
Frosinone,Frosinone,Italy
Granada CF,Granada,Spain
Deportivo Alavés,Vitoria-Gasteiz,Spain
RCD Mallorca,Palma de Mallorca,Spain
FC Barcelona,Barcelona,Spain
Real Sociedad,San Sebastián,Spain
RCD Espanyol,Barcelona,Spain
Villarreal,Villarreal,Spain
Rayo Vallecano,Madrid,Spain
Levante UD,Valencia,Spain
Athletic Club Bilbao,Bilbao,Spain
Real Betis,Seville,Spain
Sevilla FC,Seville,Spain
Atlético Madrid,Madrid,Spain
Cádiz,Cádiz,Spain
Valencia CF,Valencia,Spain
Celta de Vigo,Vigo,Spain
Getafe CF,Getafe,Spain
Real Madrid,Madrid,Spain
CA Osasuna,Pamplona,Spain
Elche CF,Elche,Spain
Almería,Almería,Spain
Girona FC,Girona,Spain
Real Valladolid,Valladolid,Spain
UD Las Palmas,Las Palmas,Spain
